Product Name,Time,Day,Price,Quantity,Stock Remaining
Aashirvaad Mustard Seeds (Rai) 100g,2026-04-14 11:01:00,Tuesday,25.0,1,196
D-Mart Premia Sesame Seeds White (Til) 200g,2026-04-14 11:03:00,Tuesday,90.0,1,223
Amul Gold Full Cream Milk 1L,2026-04-14 11:05:00,Tuesday,66.0,4,475
Paper Boat Aam Panna Drink 250ml,2026-04-14 11:08:00,Tuesday,35.0,2,306
Lay's American Style Onion Cream 90g,2026-04-14 11:14:00,Tuesday,20.0,1,105
Vim Dishwash Bar 300g,2026-04-14 11:15:00,Tuesday,30.0,1,165
Kinley Water Bottle 1L,2026-04-14 11:16:00,Tuesday,20.0,1,455
Dettol Liquid Handwash Original Refill 1.5L,2026-04-14 11:18:00,Tuesday,230.0,1,229
Kinley Water Bottle 1L,2026-04-14 11:21:00,Tuesday,20.0,1,454
D-Mart Premia Walnuts (Akhrot) 250g,2026-04-14 11:24:00,Tuesday,350.0,1,226
Thums Up Soft Drink 2L,2026-04-14 11:32:00,Tuesday,95.0,1,329
Real Fruit Power Guava Juice 1L,2026-04-14 11:33:00,Tuesday,120.0,3,309
Haldiram's Panchrattan Mixture 400g,2026-04-14 11:35:00,Tuesday,130.0,1,377
Amul Crunchy Peanut Butter 400g,2026-04-14 11:35:00,Tuesday,175.0,1,194
Bisleri Mineral Water Bottle 1L,2026-04-14 11:37:00,Tuesday,20.0,2,623
D-Mart Premia Thick Poha 1kg,2026-04-14 11:37:00,Tuesday,55.0,1,376
Tropicana 100% Orange Juice 1L,2026-04-14 11:39:00,Tuesday,125.0,1,198
Everest Garam Masala 100g,2026-04-14 11:46:00,Tuesday,85.0,1,118
D-Mart Premia Rajma Chitra 1kg,2026-04-14 11:47:00,Tuesday,155.0,1,217
Lux Velvet Touch Soap (100g x 3),2026-04-14 11:55:00,Tuesday,110.0,1,190
Exo Dishshine Bar 300g,2026-04-14 11:56:00,Tuesday,30.0,1,245
Tata Salt Rock Salt 1kg,2026-04-14 11:59:00,Tuesday,75.0,3,469
Fortune Mustard Oil 1L,2026-04-14 12:00:00,Tuesday,175.0,1,204
Pepsi Soft Drink 2L,2026-04-14 12:03:00,Tuesday,90.0,1,196
Surf Excel Easy Wash Detergent 1kg,2026-04-14 12:08:00,Tuesday,140.0,1,226
Munch Chocolate Wafer Bar 15g,2026-04-14 12:11:00,Tuesday,10.0,1,136
Coca Cola Soft Drink 2L,2026-04-14 12:12:00,Tuesday,95.0,2,188
Aashirvaad Salt 1kg,2026-04-14 12:13:00,Tuesday,24.0,2,327
Cadbury Dairy Milk Silk Chocolate 150g,2026-04-14 12:19:00,Tuesday,175.0,1,374
Bagrry's Fruit & Fibre Muesli 400g,2026-04-14 12:28:00,Tuesday,310.0,1,122
Kinley Water Bottle 1L,2026-04-14 12:32:00,Tuesday,20.0,1,453
Daawat Rozana Super Basmati Rice 5kg,2026-04-14 12:35:00,Tuesday,399.0,1,152
Santoor Sandal & Turmeric Soap (125g x 3),2026-04-14 12:36:00,Tuesday,140.0,1,98
Lipton Green Tea Honey Lemon 25 Bags,2026-04-14 12:38:00,Tuesday,155.0,1,213
Cadbury Dairy Milk Family Pack 100g,2026-04-14 12:42:00,Tuesday,100.0,3,372
D-Mart Premia Toor Dal 1kg,2026-04-14 12:46:00,Tuesday,170.0,1,203
Bru Green Label Coffee 500g,2026-04-14 12:47:00,Tuesday,180.0,1,221
Pril Lime Liquid Dishwash 425ml,2026-04-14 12:51:00,Tuesday,105.0,1,257
Gowardhan Cow Ghee 1L,2026-04-14 12:52:00,Tuesday,710.0,2,241
Amul Cheese Spread Garlic 200g,2026-04-14 12:58:00,Tuesday,120.0,1,259
Ponds Dreamflower Talcum Powder 400g,2026-04-14 13:03:00,Tuesday,295.0,1,244
Ching's Schezwan Chutney 250g,2026-04-14 13:04:00,Tuesday,85.0,1,224
D-Mart Premia Rajma Chitra 1kg,2026-04-14 13:08:00,Tuesday,155.0,1,216
D-Mart Premia Moong Dal Chilka 1kg,2026-04-14 13:15:00,Tuesday,130.0,1,257
Everest Kashmiri Lalchili Powder 200g,2026-04-14 13:15:00,Tuesday,120.0,1,237
Amul Masti Spiced Buttermilk 200ml,2026-04-14 13:16:00,Tuesday,20.0,2,734
Ching's Secret Hakka Noodles 150g,2026-04-14 13:17:00,Tuesday,40.0,1,314
Saffola Active Oil 1L,2026-04-14 13:22:00,Tuesday,170.0,1,246
Parle Hide & Seek Chocolate Chips 120g,2026-04-14 13:23:00,Tuesday,50.0,1,188
D-Mart Premia Cumin Seeds (Jeera) 200g,2026-04-14 13:23:00,Tuesday,140.0,1,239
Britannia Good Day Cashew Biscuits 200g,2026-04-14 13:26:00,Tuesday,35.0,1,190
Balaji Wafers Masala Masti 100g,2026-04-14 13:28:00,Tuesday,40.0,1,236
D-Mart Premia Mustard Seeds (Rai) 200g,2026-04-14 13:29:00,Tuesday,40.0,1,233
D-Mart Premia Thick Poha 1kg,2026-04-14 13:34:00,Tuesday,55.0,2,374
Ching's Secret Hakka Noodles 150g,2026-04-14 13:35:00,Tuesday,40.0,1,313
Nescafe Classic Instant Coffee 100g,2026-04-14 13:36:00,Tuesday,310.0,1,192
Fortune Chakki Fresh Atta 10kg,2026-04-14 13:41:00,Tuesday,490.0,2,502
Amul Pure Cow Ghee 1L,2026-04-14 13:42:00,Tuesday,680.0,1,250
Parle Monaco Salted Biscuits 120g,2026-04-14 13:43:00,Tuesday,25.0,2,500
Yippee Magic Masala Noodles 6-Pack,2026-04-14 13:43:00,Tuesday,85.0,1,314
D-Mart Premia Matki (Moth Beans) 1kg,2026-04-14 13:47:00,Tuesday,120.0,2,223
Wagh Bakri Premium Leaf Tea 1kg,2026-04-14 13:55:00,Tuesday,450.0,1,236
Oreo Vanilla Creme Biscuits 120g,2026-04-14 14:00:00,Tuesday,35.0,1,252
Boost Health Drink Refill 500g,2026-04-14 14:09:00,Tuesday,280.0,1,238
Lifebuoy Total 10 Soap (125g x 3),2026-04-14 14:14:00,Tuesday,135.0,1,265
Knorr Sweet Corn Veg Soup 50g,2026-04-14 14:16:00,Tuesday,35.0,1,198
Catch Black Pepper Powder 100g,2026-04-14 14:21:00,Tuesday,75.0,1,198
D-Mart Premia Fenugreek Seeds (Methi) 200g,2026-04-14 14:23:00,Tuesday,45.0,1,197
Balaji Wafers Simply Salted 100g,2026-04-14 14:26:00,Tuesday,40.0,1,501
Gillette Guard Safety Razor,2026-04-14 14:30:00,Tuesday,25.0,1,134
Comfort After Wash Fabric Conditioner 860ml,2026-04-14 14:35:00,Tuesday,235.0,1,260
Nivea Soft Light Moisturising Cream 200ml,2026-04-14 14:45:00,Tuesday,290.0,1,226
Haldiram's Khatta Meetha Mixture 400g,2026-04-14 14:51:00,Tuesday,110.0,3,471
Bisleri Mineral Water Bottle 1L,2026-04-14 14:51:00,Tuesday,20.0,2,621
Dabur Red Toothpaste 200g,2026-04-14 14:53:00,Tuesday,115.0,1,221
Kwality Walls Vanilla Tub 700ml,2026-04-14 14:55:00,Tuesday,140.0,1,150
D-Mart Premia Sugar 5kg,2026-04-14 14:56:00,Tuesday,235.0,2,288
Paper Boat Anar Drink 250ml,2026-04-14 15:02:00,Tuesday,40.0,1,276
Kellogg's Corn Flakes Original 475g,2026-04-14 15:14:00,Tuesday,220.0,1,191
Cadbury Dairy Milk Silk Chocolate 150g,2026-04-14 15:18:00,Tuesday,175.0,1,373
D-Mart Premia Chana Dal 1kg,2026-04-14 15:21:00,Tuesday,95.0,1,201
Amul Taaza Toned Milk 1L,2026-04-14 15:22:00,Tuesday,56.0,1,311
Everest Coriander Powder 200g,2026-04-14 15:35:00,Tuesday,65.0,1,168
Dove Intense Repair Shampoo 650ml,2026-04-14 15:37:00,Tuesday,480.0,1,195
Paper Boat Aam Panna Drink 250ml,2026-04-14 15:38:00,Tuesday,35.0,1,305
Lizol Floor Cleaner Citrus 1L,2026-04-14 15:39:00,Tuesday,215.0,1,215
Haldiram's Bhujia Sev 400g,2026-04-14 15:41:00,Tuesday,110.0,1,129
Amul Taaza Toned Milk 1L,2026-04-14 15:42:00,Tuesday,56.0,1,310
D-Mart Premia Chawli (Black Eyed) 1kg,2026-04-14 15:44:00,Tuesday,110.0,1,116
Britannia Bourbon Cream Biscuits 150g,2026-04-14 15:45:00,Tuesday,30.0,2,218
Quaker Instant Oats 1kg,2026-04-14 15:46:00,Tuesday,190.0,1,125
Vicco Vajradanti Toothpaste 200g,2026-04-14 15:48:00,Tuesday,140.0,1,216
Yippee Magic Masala Noodles 6-Pack,2026-04-14 15:51:00,Tuesday,85.0,1,313
D-Mart Premia Ajwain 100g,2026-04-14 15:52:00,Tuesday,45.0,1,182
D-Mart Premia Coriander Seeds (Dhana) 200g,2026-04-14 15:54:00,Tuesday,50.0,1,250
Gits Gulab Jamun Mix 200g,2026-04-14 15:56:00,Tuesday,115.0,1,225
Real Fruit Power Mixed Fruit Juice 1L,2026-04-14 16:03:00,Tuesday,120.0,1,177
Dettol Bathing Soap (125g x 3),2026-04-14 16:04:00,Tuesday,165.0,1,263
Amul Lassi Rose Flavour 200ml,2026-04-14 16:04:00,Tuesday,25.0,1,197
Tata Salt Rock Salt 1kg,2026-04-14 16:04:00,Tuesday,75.0,1,468
Dettol Antiseptic Liquid Bottle 500ml,2026-04-14 16:06:00,Tuesday,210.0,1,228
Bournvita Chocolate Nutrition Drink 1kg,2026-04-14 16:07:00,Tuesday,430.0,1,214
Ching's Dark Soy Sauce 200g,2026-04-14 16:09:00,Tuesday,55.0,2,208
Compact Umbrellas Indian Monsoon Edition,2026-04-14 16:10:00,Tuesday,299.0,1,478
Parachute Advansed Coconut Hair Oil 250ml,2026-04-14 16:11:00,Tuesday,105.0,1,140
D-Mart Premia Rava (Suji) 1kg,2026-04-14 16:12:00,Tuesday,60.0,1,117
Pillsbury Chakki Fresh Atta 5kg,2026-04-14 16:15:00,Tuesday,255.0,2,292
Mother Dairy Classic Dahi 400g,2026-04-14 16:17:00,Tuesday,50.0,1,306
Amul Cheese Block 200g,2026-04-14 16:20:00,Tuesday,135.0,1,222
Thums Up Soft Drink 2L,2026-04-14 16:21:00,Tuesday,95.0,1,328
D-Mart Premia Sugar 1kg,2026-04-14 16:22:00,Tuesday,48.0,1,483
Dabur Hajmola Regular Tablets 120 tab,2026-04-14 16:26:00,Tuesday,50.0,2,208
Ching's Schezwan Chutney 250g,2026-04-14 16:27:00,Tuesday,85.0,1,223
Paper Boat Anar Drink 250ml,2026-04-14 16:31:00,Tuesday,40.0,1,275
Catch Black Pepper Powder 100g,2026-04-14 16:32:00,Tuesday,75.0,1,197
D-Mart Premia Sabudana 500g,2026-04-14 16:33:00,Tuesday,50.0,1,259
Amul Vanilla Gold Ice Cream 1L,2026-04-14 16:34:00,Tuesday,190.0,2,199
Sensodyne Fresh Mint Sensitivity Toothpaste 100g,2026-04-14 16:36:00,Tuesday,150.0,1,158
D-Mart Premia Black Eyed Lobia 1kg,2026-04-14 16:39:00,Tuesday,115.0,1,202
5 Star Chocolate Bar 20g,2026-04-14 16:41:00,Tuesday,20.0,1,239
Mother Dairy Classic Dahi 400g,2026-04-14 16:42:00,Tuesday,50.0,1,305
Colgate Strong Teeth Toothpaste 300g,2026-04-14 16:42:00,Tuesday,155.0,1,143
Balaji Wafers Simply Salted 100g,2026-04-14 16:42:00,Tuesday,40.0,1,500
D-Mart Premia Sabudana 500g,2026-04-14 16:45:00,Tuesday,50.0,1,258
D-Mart Premia Camphor (Kapur) Tablets 50g,2026-04-14 16:45:00,Tuesday,55.0,1,244
Haldiram's Panchrattan Mixture 400g,2026-04-14 16:50:00,Tuesday,130.0,1,376
Amul Pure Cow Ghee 1L,2026-04-14 16:51:00,Tuesday,680.0,1,249
Gillette Guard Razor Blades (5-Pack),2026-04-14 16:56:00,Tuesday,35.0,1,168
Parle Monaco Salted Biscuits 120g,2026-04-14 17:06:00,Tuesday,25.0,1,499
Fanta Orange Soft Drink 2L,2026-04-14 17:06:00,Tuesday,95.0,2,177
Dabur Amla Hair Oil 275ml,2026-04-14 17:10:00,Tuesday,115.0,1,236
Fortune Chakki Fresh Atta 10kg,2026-04-14 17:10:00,Tuesday,490.0,1,501
Knorr Classic Tomato Soup 50g,2026-04-14 17:11:00,Tuesday,35.0,1,259
Harpic Toilet Cleaner Original 1L,2026-04-14 17:14:00,Tuesday,195.0,2,239
Kinley Water Bottle 1L,2026-04-14 17:15:00,Tuesday,20.0,2,451
Fortune Chakki Fresh Atta 10kg,2026-04-14 17:16:00,Tuesday,490.0,1,500
Ching's Green Chilli Sauce 200g,2026-04-14 17:17:00,Tuesday,50.0,1,164
Amul Masti Spiced Buttermilk 200ml,2026-04-14 17:24:00,Tuesday,20.0,1,733
Colgate ZigZag Medium Toothbrush (Buy 2 Get 1),2026-04-14 17:27:00,Tuesday,70.0,1,121
D-Mart Premia Cloves (Laung) 50g,2026-04-14 17:27:00,Tuesday,95.0,1,149
D-Mart Premia Maida 1kg,2026-04-14 17:28:00,Tuesday,45.0,1,188
Kissan Fresh Tomato Ketchup 1kg,2026-04-14 17:32:00,Tuesday,150.0,1,127
Dettol Bathing Soap (125g x 3),2026-04-14 17:34:00,Tuesday,165.0,1,262
Kurkure Masala Munch 90g,2026-04-14 17:34:00,Tuesday,20.0,1,211
Gemini Vanaspati Ghee 1L,2026-04-14 17:37:00,Tuesday,120.0,1,255
Britannia Brown Bread 400g,2026-04-14 17:38:00,Tuesday,50.0,3,518
Paper Boat Anar Drink 250ml,2026-04-14 17:39:00,Tuesday,40.0,1,274
Dabur Apis Himalaya Honey 500g,2026-04-14 17:47:00,Tuesday,215.0,1,225
Parle-G Gold Biscuits 250g,2026-04-14 17:47:00,Tuesday,20.0,1,160
Haldiram's Gulab Jamun Tin 1kg,2026-04-14 17:48:00,Tuesday,240.0,1,287
Maggi 2-Minute Masala Noodles 12-Pack,2026-04-14 17:51:00,Tuesday,168.0,1,461
D-Mart Premia Sugar 1kg,2026-04-14 17:58:00,Tuesday,48.0,3,480
Patanjali Dant Kanti Toothpaste 200g,2026-04-14 18:05:00,Tuesday,95.0,1,220
Tata Tea Gold Leaf Tea 500g,2026-04-14 18:05:00,Tuesday,240.0,1,164
D-Mart Premia Cashews (Kaju) 500g,2026-04-14 18:05:00,Tuesday,490.0,1,136
Close-Up Red Hot Gel Toothpaste 300g,2026-04-14 18:05:00,Tuesday,160.0,1,134
Brooke Bond Red Label Tea 1kg,2026-04-14 18:06:00,Tuesday,460.0,1,130
Lay's India's Magic Masala Chips 90g,2026-04-14 18:06:00,Tuesday,20.0,1,240
Cycle Three In One Agarbatti (Incense) 100 Sticks,2026-04-14 18:10:00,Tuesday,70.0,2,238
MDH Sambhar Masala 100g,2026-04-14 18:11:00,Tuesday,78.0,1,115
D-Mart Premia Green Cardamom (Elaichi) 50g,2026-04-14 18:17:00,Tuesday,180.0,1,99
D-Mart Premia Masoor Whole 1kg,2026-04-14 18:20:00,Tuesday,105.0,1,208
Perk Chocolate Wafer Bar 15g,2026-04-14 18:21:00,Tuesday,10.0,1,251
D-Mart Premia Premium Cashew W180 250g,2026-04-14 18:24:00,Tuesday,390.0,1,116
Knorr Sweet Corn Veg Soup 50g,2026-04-14 18:27:00,Tuesday,35.0,1,197
D-Mart Premia Black Cardamom 50g,2026-04-14 18:31:00,Tuesday,110.0,1,99
Maggi 2-Minute Masala Noodles 12-Pack,2026-04-14 18:32:00,Tuesday,168.0,1,460
Horlicks Classic Malt Jar 1kg,2026-04-14 18:37:00,Tuesday,410.0,1,247
Parle Monaco Salted Biscuits 120g,2026-04-14 18:38:00,Tuesday,25.0,1,498
Paper Boat Aam Panna Drink 250ml,2026-04-14 18:38:00,Tuesday,35.0,1,304
Maggi 2-Minute Masala Noodles 12-Pack,2026-04-14 18:40:00,Tuesday,168.0,2,458
Kissan Mixed Fruit Jam 700g,2026-04-14 18:40:00,Tuesday,220.0,1,203
Ariel Complete Front Load 1kg,2026-04-14 18:40:00,Tuesday,210.0,1,134
Mother Dairy Classic Dahi 400g,2026-04-14 18:46:00,Tuesday,50.0,1,304
Dabur Apis Himalaya Honey 500g,2026-04-14 18:48:00,Tuesday,215.0,1,224
D-Mart Premia Urad Dal Black whole 1kg,2026-04-14 18:59:00,Tuesday,140.0,1,227
Everest Tikhalal Chilli Powder 200g,2026-04-14 19:06:00,Tuesday,115.0,1,150
Aashirvaad Atta Shudh Chakki 5kg,2026-04-14 19:08:00,Tuesday,260.0,1,476
Maggi Hot & Sweet Chilli Tomato Sauce 1kg,2026-04-14 19:10:00,Tuesday,170.0,1,262
Tata Tea Agni Dust Tea 1kg,2026-04-14 19:15:00,Tuesday,280.0,1,138
Lux Velvet Touch Soap (100g x 3),2026-04-14 19:18:00,Tuesday,110.0,1,189
Nescafe Classic Instant Coffee 100g,2026-04-14 19:20:00,Tuesday,310.0,1,191
Comfort After Wash Fabric Conditioner 860ml,2026-04-14 19:23:00,Tuesday,235.0,1,259
Wibs White Bread 400g,2026-04-14 19:24:00,Tuesday,45.0,1,276
Cadbury Dairy Milk Silk Chocolate 150g,2026-04-14 19:26:00,Tuesday,175.0,1,372
D-Mart Premia Masoor Dal Lall 1kg,2026-04-14 19:32:00,Tuesday,110.0,1,148
Brooke Bond Taj Mahal Tea 500g,2026-04-14 19:34:00,Tuesday,320.0,1,158
MDH Chana Masala 100g,2026-04-14 19:38:00,Tuesday,78.0,2,191
Real Fruit Power Guava Juice 1L,2026-04-14 19:40:00,Tuesday,120.0,1,308
D-Mart Premia Ajwain 100g,2026-04-14 19:44:00,Tuesday,45.0,1,181
Nivea Soft Light Moisturising Cream 200ml,2026-04-14 19:51:00,Tuesday,290.0,1,225
Bisleri Mineral Water Bottle 1L,2026-04-14 19:53:00,Tuesday,20.0,1,620
D-Mart Premia Pistachios (Pista) 250g,2026-04-14 19:54:00,Tuesday,310.0,1,186
Wibs White Bread 400g,2026-04-14 19:56:00,Tuesday,45.0,1,275
Tata Salt Rock Salt 1kg,2026-04-15 08:01:00,Wednesday,75.0,2,466
Harpic Toilet Cleaner Original 1L,2026-04-15 08:03:00,Wednesday,195.0,1,238
Everest Turmeric Powder 200g,2026-04-15 08:04:00,Wednesday,55.0,1,134
Ariel Complete Front Load 1kg,2026-04-15 08:11:00,Wednesday,210.0,1,133
Maggi Hot & Sweet Chilli Tomato Sauce 1kg,2026-04-15 08:21:00,Wednesday,170.0,1,261
Catch Black Pepper Powder 100g,2026-04-15 08:25:00,Wednesday,75.0,1,196
Act II Popcorn Golden Sizzle 90g,2026-04-15 08:25:00,Wednesday,45.0,1,169
Tata Salt SuperLite 1kg,2026-04-15 08:31:00,Wednesday,32.0,2,524
Close-Up Red Hot Gel Toothpaste 300g,2026-04-15 08:33:00,Wednesday,160.0,1,133
Tata Salt SuperLite 1kg,2026-04-15 08:35:00,Wednesday,32.0,1,523
Nescafe Classic Instant Coffee 100g,2026-04-15 08:40:00,Wednesday,310.0,2,189
Cycle Three In One Agarbatti (Incense) 100 Sticks,2026-04-15 09:00:00,Wednesday,70.0,2,236
Lizol Floor Cleaner Citrus 1L,2026-04-15 09:06:00,Wednesday,215.0,1,214
Haldiram's Moong Dal Namkeen 400g,2026-04-15 09:08:00,Wednesday,120.0,1,119
Surf Excel Easy Wash Detergent 1kg,2026-04-15 09:12:00,Wednesday,140.0,1,225
D-Mart Premia Rava (Suji) 1kg,2026-04-15 09:15:00,Wednesday,60.0,1,116
Bisleri Mineral Water Bottle 1L,2026-04-15 09:19:00,Wednesday,20.0,1,619
Parle Monaco Salted Biscuits 120g,2026-04-15 09:25:00,Wednesday,25.0,3,495
Cadbury Dairy Milk Family Pack 100g,2026-04-15 09:25:00,Wednesday,100.0,1,371
Dove Intense Repair Shampoo 650ml,2026-04-15 09:27:00,Wednesday,480.0,1,194
Balaji Wafers Simply Salted 100g,2026-04-15 09:31:00,Wednesday,40.0,1,499
Paper Boat Anar Drink 250ml,2026-04-15 09:33:00,Wednesday,40.0,1,273
Maggi 2-Minute Masala Noodles 12-Pack,2026-04-15 09:35:00,Wednesday,168.0,1,457
Compact Umbrellas Indian Monsoon Edition,2026-04-15 09:39:00,Wednesday,299.0,1,477
5 Star Chocolate Bar 20g,2026-04-15 09:47:00,Wednesday,20.0,1,238
Britannia Brown Bread 400g,2026-04-15 09:50:00,Wednesday,50.0,3,515
Dettol Liquid Handwash Original Refill 1.5L,2026-04-15 09:52:00,Wednesday,230.0,1,228
Fortune Mustard Oil 1L,2026-04-15 09:55:00,Wednesday,175.0,1,203
D-Mart Premia Besan 1kg,2026-04-15 09:55:00,Wednesday,90.0,2,224
Kinley Water Bottle 1L,2026-04-15 09:56:00,Wednesday,20.0,3,448
Balaji Wafers Masala Masti 100g,2026-04-15 09:57:00,Wednesday,40.0,1,235
D-Mart Premia Sugar 5kg,2026-04-15 09:57:00,Wednesday,235.0,1,287
Homelite Safety Matchbox (10-Pack bundle),2026-04-15 09:58:00,Wednesday,20.0,1,218
Britannia Bourbon Cream Biscuits 150g,2026-04-15 09:59:00,Wednesday,30.0,2,216
Amul Gold Full Cream Milk 1L,2026-04-15 10:02:00,Wednesday,66.0,3,472
Pears Pure & Gentle Soap (125g x 3),2026-04-15 10:05:00,Wednesday,225.0,1,211
Parle-G Gold Biscuits 250g,2026-04-15 10:07:00,Wednesday,20.0,1,159
Sprite Soft Drink 2L,2026-04-15 10:09:00,Wednesday,95.0,1,178
Amul Crunchy Peanut Butter 400g,2026-04-15 10:09:00,Wednesday,175.0,1,193
D-Mart Premia Black Cardamom 50g,2026-04-15 10:10:00,Wednesday,110.0,1,98
Everest Kasuri Methi 50g,2026-04-15 10:11:00,Wednesday,45.0,1,105
D-Mart Premia Cloves (Laung) 50g,2026-04-15 10:12:00,Wednesday,95.0,1,148
